ticker,R,date,year,kind,base_start,base_len,pos,rsi,wk_since_low,delisted,regime_spy_up,mad_med,pre_vol,contr8,vol_dry8,rsi_slope26,next_break,wk_to_break,ret13,exc13_SPY,mae13,ret26,exc26_SPY,mae26,ret52,exc52_SPY,mae52,trunc52,wk_to_comp,ret_to_comp,comp_before,divup_before,e1_before,id,dup_of
BSI,1.5,2013-03-29,2013,CTRL,2012-09-14,29,0.08,32.8,14,True,True,0.05,0.0631,0.74,1.59,0.8,DOWN,4.0,5.7,2.8,-11.4,5.7,-3.2,-11.4,157.1,136.4,-11.4,False,28.0,20.0,False,False,False,733bf64ee0,
LPG,2.0,2019-03-22,2019,CTRL,2017-03-24,105,0.12,43.0,2,False,True,0.0561,0.0865,0.6,0.66,-0.68,UP,24.0,49.5,43.7,0.0,83.8,76.0,0.0,22.5,38.9,0.0,False,13.0,49.5,False,False,False,03fd2fbcaf,
PRO,1.5,2021-07-09,2021,CTRL,2020-11-13,35,0.69,53.4,34,True,True,0.0489,0.103,0.46,1.03,-0.06,DOWN,12.0,-26.5,-27.4,-26.5,-31.9,-39.6,-35.4,-37.8,-28.3,-46.0,False,,,False,False,False,5a2d55bb5a,
ACB,2.0,2026-02-27,2026,CTRL,2024-08-23,80,0.12,41.8,3,False,True,0.1015,0.18,0.7,0.83,-0.55,DOWN,2.0,-6.2,-16.8,-16.7,4.4,-8.3,-31.5,,,,,,,False,False,False,9da553deea,
DRC,1.5,2012-06-08,2012,CTRL,2011-08-26,42,0.34,40.6,41,True,True,0.0548,0.0539,0.86,0.81,-0.61,UP,14.0,19.6,10.6,-1.9,21.6,13.5,-1.9,40.9,14.4,-1.9,False,13.0,19.6,True,False,False,d2324f3a6b,
EXP,1.5,2018-03-23,2018,CTRL,2016-11-04,73,0.46,42.2,72,False,True,0.0513,0.0401,0.29,1.07,-0.92,NONE,,9.6,2.7,-0.2,-12.0,-26.2,-12.0,-27.9,-38.2,-40.7,False,,,True,False,False,3a72a6b2ca,
PRTS,2.0,2022-09-16,2022,CTRL,2021-12-31,38,0.0,36.4,0,False,False,0.085,0.0865,1.3,0.83,0.66,DOWN,1.0,19.2,19.3,-23.4,-4.7,-6.7,-23.4,-27.6,-44.4,-32.3,False,,,False,False,False,6a617a2415,
PCTY,1.5,2016-02-05,2016,CTRL,2015-05-08,40,0.14,40.4,18,False,False,0.0461,0.0746,2.29,1.52,-0.03,DOWN,1.0,4.8,-5.2,-20.5,48.9,31.6,-20.5,10.2,-14.4,-20.5,False,,,True,False,False,5dbc3c0643,
TPH,1.5,2018-03-23,2018,CTRL,2017-09-22,27,0.5,48.8,26,True,True,0.0476,0.0355,0.12,1.12,-1.14,NONE,,4.1,-2.9,-0.1,-18.3,-32.5,-18.3,-23.7,-34.0,-33.3,False,,,False,False,False,97cb77e118,
TSRO,1.5,2014-09-19,2014,CTRL,2014-03-21,27,0.46,48.1,19,True,True,0.0587,0.102,0.4,0.67,0.45,UP,10.0,31.4,27.9,-10.3,110.6,104.7,-10.3,103.3,103.9,-10.3,False,,,False,False,False,b0d0f8ae9d,
