ticker,R,kind,date,year,base_start,base_len,close,pos,rsi,range_ratio,wk_since_low,delisted,mad_med,cv,mid_share,pre_vol,spring,regime_spy_up,mad_tail8,mad_tail13,contr8,vol_dry8,rel_tight,zero_wk_share,next_break,wk_to_break,ret13,trunc13,exc13_SPY,exc13_SMH,exc13_QQQ,mae13,ret26,trunc26,exc26_SPY,exc26_SMH,exc26_QQQ,mae26,ret52,trunc52,exc52_SPY,exc52_SMH,exc52_QQQ,mae52
ALNY,2.0,COMP,2014-10-24,2014,2013-08-02,65,93.84,1.0,69.2,1.95,63,False,0.1119,0.1707,0.492,0.0733,False,True,0.068,0.0861,0.61,1.27,1.53,0.03,UP,2.0,-0.4,False,-5.4,-13.6,-6.6,-4.0,26.8,False,18.0,11.8,14.1,-5.1,-15.1,False,-22.8,-30.3,-30.7,-15.1
ALNY,2.0,ANTI,2018-11-09,2018,2018-03-23,34,72.41,0.0,37.7,1.91,0,False,0.0605,0.1283,0.735,0.0944,False,True,0.0682,0.0976,1.13,0.91,0.64,0.0,DOWN,6.0,7.3,False,9.3,1.8,8.7,-12.6,-1.3,False,-6.1,-19.2,-9.7,-12.6,28.5,False,15.0,-13.7,10.1,-12.6
ALNY,2.0,COMP,2019-11-22,2019,2018-03-30,87,106.91,0.73,71.9,1.94,48,False,0.1089,0.1432,0.667,0.0944,False,True,0.0458,0.0585,0.42,0.83,1.15,0.01,UP,2.0,22.6,False,14.8,9.8,8.2,0.0,31.4,False,35.4,24.5,17.2,-5.0,16.6,False,0.2,-38.4,-28.3,-5.0
ALNY,2.0,COMP,2022-08-19,2022,2020-04-17,123,215.97,0.84,66.9,1.91,101,False,0.1043,0.1563,0.415,0.055,False,False,0.0515,0.0571,0.49,1.32,1.9,0.01,UP,15.0,0.6,False,6.4,7.2,12.3,-14.1,3.2,False,5.8,-1.3,9.5,-14.1,-13.9,False,-19.0,-39.6,-25.6,-15.4
ALNY,2.0,COMP,2024-07-12,2024,2022-06-03,111,260.51,1.0,82.7,1.98,110,False,0.1209,0.1611,0.595,0.0716,False,True,0.0917,0.052,0.76,1.02,1.69,0.0,UP,3.0,9.1,False,5.3,15.6,9.3,-9.9,-8.6,False,-13.0,0.9,-11.5,-10.1,20.9,False,8.1,15.7,8.3,-10.1
ALNY,2.0,COMP,2024-08-02,2024,2022-06-17,112,272.05,1.0,75.6,1.98,111,False,0.1199,0.1622,0.652,0.0692,False,True,0.0639,0.1083,0.53,1.89,1.73,0.0,UP,3.0,0.7,False,-6.8,-11.4,-8.1,-9.3,-0.3,False,-13.9,-12.3,-17.0,-13.9,47.7,False,29.6,17.1,23.6,-13.9
ALNY,2.0,COMP,2024-09-27,2024,2022-06-24,119,274.91,1.0,68.5,1.94,113,False,0.1281,0.1803,0.588,0.0686,False,True,0.0163,0.0278,0.13,1.41,1.87,0.0,UP,2.0,-13.4,False,-17.9,-14.1,-21.0,-14.3,-2.3,False,-0.2,11.6,1.0,-14.8,62.4,False,45.2,31.9,39.3,-14.8
ALNY,2.0,COMP,2024-10-11,2024,2022-08-05,115,284.32,1.0,69.0,1.98,24,False,0.1246,0.178,0.609,0.0695,False,True,0.0178,0.0207,0.14,1.26,1.79,0.0,UP,1.0,-16.3,False,-16.8,-13.0,-19.3,-17.6,-16.4,False,-9.1,4.9,-8.8,-17.6,62.0,False,47.9,34.6,41.8,-17.6
ALNY,2.0,COMP,2025-05-16,2025,2024-05-31,51,285.31,0.93,59.5,1.99,50,False,0.0636,0.1268,0.49,0.0433,False,True,0.0581,0.0352,0.91,1.54,1.47,0.02,UP,2.0,57.3,False,48.7,37.4,46.5,0.0,57.4,False,43.7,17.4,40.4,0.0,0.6,False,-25.2,-125.9,-36.0,0.0
ALNY,2.0,COMP,2025-05-30,2025,2024-06-07,52,304.56,1.0,63.8,1.99,51,False,0.0655,0.1155,0.558,0.0431,False,True,0.0756,0.0629,1.15,1.37,1.52,0.02,UP,2.0,46.6,False,36.8,25.5,36.6,-1.2,48.2,False,31.5,1.2,28.6,-1.2,-0.8,False,-30.7,-151.4,-43.8,-5.8
ALNY,2.0,COMP,2025-06-13,2025,2024-06-14,53,307.99,1.0,64.0,1.92,52,False,0.0631,0.1051,0.623,0.0433,False,True,0.0648,0.0801,1.03,1.31,1.46,0.02,UP,1.0,51.3,False,40.8,32.9,39.8,0.0,29.1,False,14.2,-8.7,12.4,0.0,-8.2,False,-33.8,-150.2,-45.7,-8.2
ALNY,2.0,COMP,2025-06-27,2025,2024-06-21,54,322.83,1.0,67.4,1.95,53,False,0.0586,0.098,0.796,0.0432,False,True,0.0326,0.0908,0.56,1.32,1.36,0.02,UP,1.0,38.3,False,30.3,22.7,29.4,-2.4,24.1,False,11.2,-7.7,10.0,-2.4,-9.7,False,-29.6,-130.1,-39.3,-13.9
ALNY,2.0,COMP,2025-07-04,2025,2024-06-28,54,331.91,1.0,69.3,1.42,26,False,0.0618,0.0901,0.463,0.0431,False,True,0.0355,0.1054,0.57,1.17,1.43,0.02,UP,4.0,37.5,False,30.2,18.8,28.9,-5.1,20.6,False,10.7,-11.5,10.1,-5.1,-5.8,False,-26.2,-115.2,-34.5,-16.2
ALOG,1.5,COMP,2013-10-18,2013,2012-07-13,67,91.66,1.0,77.6,1.48,64,True,0.0525,0.0752,0.776,0.0465,False,True,0.0557,0.0613,1.06,1.5,1.13,0.03,UP,6.0,-4.0,False,-9.8,-8.2,-11.3,-7.9,-12.4,False,-20.3,-23.5,-18.3,-17.0,-22.2,False,-32.4,-37.8,-37.1,-31.2
ALOG,1.5,COMP,2014-12-19,2014,2014-02-28,43,85.15,0.76,69.2,1.46,12,True,0.0418,0.0736,0.721,0.0286,False,True,0.0134,0.0119,0.32,0.67,1.46,0.05,NONE,,1.2,False,-1.1,-4.8,-3.0,-5.7,-5.9,False,-9.0,-11.9,-11.8,-6.8,-4.4,False,-3.3,-3.1,-10.8,-10.1
ALOG,1.5,COMP,2016-11-25,2016,2014-10-03,113,94.59,1.0,66.1,1.4,112,True,0.0425,0.0687,0.761,0.0405,True,True,0.0404,0.0401,0.95,0.97,1.05,0.04,NONE,,-14.2,False,-21.7,-22.0,-24.1,-19.6,-24.3,False,-34.5,-44.5,-43.8,-25.1,-11.9,False,-31.8,-60.6,-44.7,-28.6
