ticker,regime,kind,dt,fwd1d,fwd3d,fwd5d
CGNX,RANGE,H_UP,2024-09-24T14:30:00,-2.227,1.924,0.835
CGNX,RANGE,CTRL,2024-09-25T10:30:00,1.816,3.808,2.701
CGNX,RANGE,CTRL,2024-09-26T09:30:00,3.568,0.569,-0.051
CGNX,RANGE,H_DOWN,2024-09-26T11:30:00,1.974,0.329,-0.717
CGNX,RANGE,CTRL,2024-09-26T15:30:00,-0.074,-1.563,-2.779
CGNX,RANGE,CTRL,2024-09-27T14:30:00,-0.36,-0.981,-2.198
CGNX,RANGE,CTRL,2024-09-30T13:30:00,-0.461,-2.305,-1.483
CGNX,RANGE,H_UP,2024-09-30T14:30:00,-0.71,-2.343,-1.705
CGNX,RANGE,CTRL,2024-10-01T12:30:00,0.419,-0.991,-0.185
CGNX,RANGE,H_DOWN,2024-10-01T14:30:00,0.088,-1.142,-0.151
CGNX,RANGE,CTRL,2024-10-02T11:30:00,-1.288,-1.15,-1.425
CGNX,RANGE,CTRL,2024-10-03T10:30:00,0.47,0.788,-1.855
CGNX,BULL,CTRL,2024-10-04T09:30:00,-0.089,-0.519,-0.608
CGNX,BULL,CTRL,2024-10-04T15:30:00,-0.253,-1.467,-0.025
CGNX,BULL,CTRL,2024-10-07T14:30:00,0.86,-2.474,1.494
CGNX,BULL,CTRL,2024-10-08T13:30:00,-0.958,-0.479,0.227
CGNX,BULL,H_UP,2024-10-09T12:30:00,-1.731,1.757,2.928
CGNX,BULL,CTRL,2024-10-10T11:30:00,2.1,3.94,4.082
CGNX,BULL,CTRL,2024-10-11T10:30:00,0.355,2.56,2.611
CGNX,BULL,H_UP,2024-10-11T14:30:00,1.638,2.196,4.329
CGNX,RANGE,CTRL,2024-10-14T09:30:00,1.762,0.994,1.133
CGNX,RANGE,CTRL,2024-10-14T15:30:00,-1.171,-0.399,-1.27
CGNX,RANGE,H_UP,2024-10-15T14:30:00,1.5,3.619,-0.467
CGNX,RANGE,CTRL,2024-10-16T13:30:00,-0.718,-1.697,-4.508
CGNX,RANGE,CTRL,2024-10-17T12:30:00,1.435,-1.634,-3.506
CGNX,RANGE,CTRL,2024-10-18T11:30:00,-2.64,-4.494,-4.015
CGNX,RANGE,CTRL,2024-10-21T10:30:00,-0.443,-2.378,-0.455
CGNX,RANGE,CTRL,2024-10-22T09:30:00,-0.419,-0.127,1.269
CGNX,RANGE,CTRL,2024-10-22T15:30:00,-1.198,-1.02,3.518
CGNX,RANGE,CTRL,2024-10-23T14:30:00,-0.077,1.032,5.072
CGNX,RANGE,CTRL,2024-10-24T13:30:00,0.595,4.81,5.456
CGNX,RANGE,CTRL,2024-10-25T12:30:00,0.694,4.215,3.238
CGNX,RANGE,H_DOWN,2024-10-25T14:30:00,0.863,4.896,4.226
CGNX,RANGE,CTRL,2024-10-28T11:30:00,3.077,4.222,3.891
CGNX,RANGE,CTRL,2024-10-29T10:30:00,1.247,-0.1,0.873
CGNX,RANGE,H_UP,2024-10-29T14:30:00,0.395,-0.247,-1.504
CGNX,RANGE,CTRL,2024-10-30T09:30:00,2.343,0.773,2.429
CGNX,RANGE,CTRL,2024-10-30T15:30:00,-0.569,1.014,5.34
CGNX,RANGE,CTRL,2024-10-31T14:30:00,-0.345,-1.601,6.184
CGNX,RANGE,CTRL,2024-11-01T13:30:00,0.916,5.395,6.533
CGNX,RANGE,CTRL,2024-11-04T12:30:00,-1.255,5.41,5.609
CGNX,RANGE,CTRL,2024-11-05T11:30:00,4.217,5.549,4.106
CGNX,RANGE,CTRL,2024-11-06T10:30:00,0.757,1.384,-0.52
CGNX,RANGE,H_UP,2024-11-06T14:30:00,0.842,0.374,-2.672
CGNX,RANGE,CTRL,2024-11-07T09:30:00,-0.968,-0.735,-4.163
CGNX,RANGE,CTRL,2024-11-07T15:30:00,-0.418,-2.066,-5.944
CGNX,RANGE,CTRL,2024-11-08T14:30:00,0.093,-2.944,-7.07
CGNX,RANGE,CTRL,2024-11-11T13:30:00,-1.432,-5.121,-10.056
CGNX,RANGE,CTRL,2024-11-12T12:30:00,-0.641,-4.994,-7.765
CGNX,RANGE,CTRL,2024-11-13T11:30:00,-2.097,-6.412,-7.694
CGNX,RANGE,CTRL,2024-11-14T10:30:00,-2.338,-5.639,-4.177
CGNX,RANGE,CTRL,2024-11-15T09:30:00,-1.079,-3.714,1.079
CGNX,RANGE,CTRL,2024-11-15T15:30:00,-2.525,-1.313,2.702
CGNX,RANGE,CTRL,2024-11-18T14:30:00,0.979,1.546,7.68
CGNX,RANGE,CTRL,2024-11-19T13:30:00,-1.063,4.085,3.214
CGNX,RANGE,H_DOWN,2024-11-19T14:30:00,-1.289,3.497,3.188
CGNX,RANGE,CTRL,2024-11-20T12:30:00,2.826,8.594,4.141
CGNX,RANGE,H_DOWN,2024-11-21T09:30:00,3.855,4.409,3.867
CGNX,RANGE,CTRL,2024-11-21T11:30:00,3.553,2.369,1.936
CGNX,RANGE,CTRL,2024-11-22T10:30:00,3.674,-1.092,-0.569
