ticker,group,hold_terminal,hold_maxdd,BRAKE_ratio,BRAKE_maxdd,BRAKE_pct_collared,COLLAR_ratio,COLLAR_maxdd,COLLAR_pct_collared
GRID,etf,4.174,-39.0,0.949,-39.0,0.0,0.725,-39.0,19.7
URA,etf,3.22,-50.6,1.087,-37.0,0.0,0.71,-36.5,43.9
XLU,etf,2.126,-32.1,1.016,-32.1,0.0,0.935,-32.1,23.7
BOTZ,etf,1.774,-55.4,0.769,-48.4,0.0,0.635,-39.0,25.1
ROBO,etf,1.912,-43.2,0.654,-49.7,0.0,0.686,-34.6,25.7
ARKQ,etf,3.317,-59.0,1.372,-32.2,0.0,1.271,-39.3,27.9
ITA,etf,2.424,-49.3,0.763,-49.3,0.0,0.623,-49.3,22.4
PPA,etf,2.999,-41.9,0.725,-41.9,0.0,0.707,-41.9,18.4
ARKX,etf,2.26,-25.2,1.0,-25.2,0.0,0.883,-25.2,6.3
XLV,etf,1.265,-16.1,0.94,-12.9,0.0,0.946,-14.8,28.3
XBI,etf,1.888,-61.5,0.647,-39.0,0.0,1.174,-38.9,42.3
IHI,etf,1.177,-32.7,1.178,-17.5,0.0,1.045,-26.9,27.4
ARKG,etf,1.302,-82.9,1.932,-67.0,0.0,1.543,-65.7,49.5
SPY,etf,2.928,-31.8,1.037,-31.8,0.0,0.935,-31.8,17.6
QQQ,etf,3.937,-35.1,1.065,-27.3,0.0,1.065,-27.3,16.3
IWM,etf,2.085,-40.0,0.961,-24.7,0.0,0.599,-40.0,32.6
